Timestamp,Latitude,Longitude,Vehicle_Count,Traffic_Speed_kmh,Road_Occupancy_Pct,Traffic_Light_State,Accident_Report,Sentiment_Score,Ride_Sharing_Demand,Parking_Availability,Emission_Levels_g_km,Energy_Consumption_L_h,Traffic_Condition
01-03-2024 00:00,40.84227529,-73.70314869,205,49.8934348,82.65277993,Yellow,0,-0.60919909,2,45,450.7600551,19.57433653,High
01-03-2024 00:05,40.8311194,-73.98735409,202,22.38396487,45.8292978,Green,0,0.96544237,16,1,321.8003405,5.385553512,High
01-03-2024 00:10,40.81954876,-73.73246186,252,46.88969944,82.7724648,Green,0,0.289660316,16,49,231.1526548,10.27747749,High
01-03-2024 00:15,40.72584888,-73.98013411,37,5.730536423,37.69556744,Red,0,-0.271964738,66,10,410.3842921,29.24327945,High
01-03-2024 00:20,40.81326468,-73.96163054,64,61.34803436,22.31335795,Red,0,-0.797605617,3,5,364.4663417,16.80145876,Low
01-03-2024 00:25,40.64111175,-73.82509534,125,9.150745621,72.79990343,Green,0,-0.594636326,78,27,349.0453075,29.80584194,High
01-03-2024 00:30,40.7971386,-73.79744494,125,9.162774286,34.18201801,Green,0,0.544283849,21,42,363.745931,18.89057868,High
01-03-2024 00:35,40.81236202,-73.80175125,130,40.9936224,40.42793232,Yellow,0,0.744057889,92,22,82.19081477,12.11757313,Medium
01-03-2024 00:40,40.71700628,-73.78956237,67,73.90533684,80.60737469,Green,0,-0.439931005,27,4,477.23242,17.22367898,High
01-03-2024 00:45,40.87236438,-73.74021,12,65.53559165,47.11495675,Green,0,0.566600696,28,8,56.86540356,13.04474291,Low
01-03-2024 00:50,40.72249549,-73.83021193,117,60.48137718,56.00173845,Green,0,0.666465707,77,39,295.9050841,18.44697863,Medium
01-03-2024 00:55,40.79353376,-73.98380906,12,38.7398743,69.65316331,Green,0,0.714162384,14,2,179.5558805,22.22665355,Medium
01-03-2024 01:00,40.89474427,-73.74201043,97,61.94792468,17.32821125,Red,0,-0.41602953,70,12,157.0058131,7.226278361,Low
01-03-2024 01:05,40.82852825,-73.74094204,265,64.42220656,94.97458763,Yellow,0,-0.509843381,72,24,323.5250253,16.80828751,High
01-03-2024 01:10,40.64996314,-73.96601803,187,24.43589569,47.48922186,Red,0,0.362368388,83,36,351.410217,7.264291397,Medium
01-03-2024 01:15,40.84620305,-73.8822499,139,21.67302311,45.85708774,Red,0,0.731100406,25,8,421.7381674,7.129836673,Medium
01-03-2024 01:20,40.73533093,-73.92847504,298,39.81468027,73.00334765,Green,0,0.302029313,34,39,108.9747813,20.30003675,High
01-03-2024 01:25,40.65288136,-73.84149223,168,71.17270014,90.33113551,Red,0,-0.187133369,33,6,122.327947,29.55137,High
01-03-2024 01:30,40.75553085,-73.80884497,188,50.22358936,85.22206471,Yellow,0,-0.770141818,35,47,391.9104429,11.8229783,High
01-03-2024 01:35,40.72540505,-73.98032961,176,19.51636299,89.38515987,Green,0,0.386515378,80,10,106.8701081,18.44268949,High
01-03-2024 01:40,40.76204205,-73.79413576,38,60.81684312,48.55435921,Red,0,0.215513476,25,39,182.0765861,18.18805238,Low
01-03-2024 01:45,40.8682167,-73.97079465,113,36.09859482,82.04990255,Green,0,-0.765305119,32,7,470.3349269,8.3046401,High
01-03-2024 01:50,40.76353774,-73.74218839,56,57.38454322,24.76400019,Green,0,-0.889188305,35,34,263.2759893,20.71872311,Low
01-03-2024 01:55,40.86608116,-73.96230427,114,79.99755568,25.02061512,Yellow,0,0.552604021,95,10,192.1099167,7.232791421,Medium
01-03-2024 02:00,40.86982813,-73.81569064,17,71.09147218,78.95197163,Yellow,0,0.190827749,91,2,234.0963555,20.24696729,Medium
01-03-2024 02:05,40.63173934,-73.80265008,80,47.49605859,63.05449092,Red,0,-0.559157011,42,27,351.9970574,16.22270824,Medium
01-03-2024 02:10,40.82747193,-73.730758,231,26.9155953,24.62641256,Yellow,0,-0.248171216,90,37,377.4466868,29.47099974,High
01-03-2024 02:15,40.79104281,-73.97259663,175,74.60523206,92.46344884,Red,0,-0.013383939,68,21,101.3861145,9.823282794,High
01-03-2024 02:20,40.65820559,-73.76058947,188,15.56714847,54.77980321,Green,0,0.25269721,33,48,369.7603455,28.73289816,High
01-03-2024 02:25,40.67393408,-73.90893909,167,48.5824889,39.12002347,Green,0,0.787989239,79,23,300.3471901,17.97192721,Medium
01-03-2024 02:30,40.8945176,-73.79768763,91,77.6258624,39.7248796,Yellow,0,6.70E-06,71,13,242.8719175,15.70433172,Low
01-03-2024 02:35,40.73719674,-73.90429715,232,31.17867378,92.06030033,Green,0,-0.252548277,92,26,442.5890998,29.06214272,High
01-03-2024 02:40,40.71339651,-73.85200896,218,54.07900288,52.49588574,Red,0,-0.65012683,71,7,179.6482814,5.92647407,High
01-03-2024 02:45,40.68747297,-73.9956266,178,45.11380836,40.98205382,Red,0,0.497610069,87,8,103.7934779,22.51005713,Medium
01-03-2024 02:50,40.65934012,-73.94228395,184,55.88293041,39.04751331,Yellow,0,-0.536062208,80,1,151.1046285,27.42719042,Medium
01-03-2024 02:55,40.69047374,-73.97280139,57,78.34660845,10.34383671,Red,1,0.38695272,65,34,427.3933685,11.74513769,High
01-03-2024 03:00,40.8773613,-73.72960085,52,72.67421356,82.63390704,Green,0,0.709341101,40,48,131.1807333,21.29749814,High
01-03-2024 03:05,40.82978328,-73.8114801,167,25.97242405,73.09278634,Green,0,-0.576236485,73,11,362.1701083,14.64284589,Medium
